Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,answerScale,workSetting,Please enter the time you are starting this survey (njg1zai),TimeStart,Please enter what type of position you hold in your organization: (7dfjc8c),Q1: We stay connected as a team (jmf81fl),Q2: Our team meetings and discussions are effective (j4qxktr),Q3: We have enough autonomy to perform our jobs effectively (k9zva4g),Q4: I know how my work contributes to the mission of my organization (sp2u299),Q5: I feel I am part of a team (ptrg9vs),Q6: Other units collaborate effectively with us to get the job done (uyldfu2),Q7: My supervisor helps me feel valued at my organization (eh68eka),Q8: There is open and honest two-way communication with my supervisor (a1h9boh),Q9: We are encouraged to be innovative even if success is not guaranteed (eghp99c),Q10: I feel comfortable being my authentic self at work (bawv4xt),Q11: I feel valued for the unique contribution I can make to my organization (swn9pla),Q12: I feel safe to take risks and fail within my organization (7f3jrn8),Q13: People on my team care about me as a person (cz4vt46),Q14: People on my team share information with each other (k11krym),Q15: My supervisor listens to what I have to say (6gofkl5),Q16: My supervisor is available when I need them (klitn56),Q17: I have measurable goals that are clearly explained (2f086v5),Q18: I achieve a good balance between my work life and my private life (znr9703),Q19: I feel valued as an employee (nrgz8gy),Q20: I receive recognition for doing good work (6jdeezh),Q21: I am treated fairly at work (c4ypi0v),"Q22: Based on your experience over the past two years, which work setting do you find works best for *you*? (w7dfag3)","Q23: Based on your experience over the past two years, which work setting do you find works best for promoting *healthy work relationships*? (5pxaww1)","Q24: Based on your experience over the past two years, which work setting do you find works best for promoting *a healthy work culture* within your team? (a0th5z8)",Q25: Please enter up to three words or phrases that you associate with *healthy work relationships* (n1nc571),Q26: Please enter up to three words or phrases that you associate with a healthy work culture (nrepezj),Please enter the time you are completing this survey (dg4le6z),TimeEnd,Ok. Would you like to do this again or are you done? (f6znlsp),Please enter what type of position you hold in your organization: (gqc27r2)
7100029,19,6ed5qyk,2022-02-22 22:47:09,2022-02-22 22:51:20,4.18,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",2:47 PM,2:47 PM,Manager / Supervisor,2,2,1,2,2,3,3,2,2,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,"Trust,Communication,Openness","Openness,Collaboration,Communication",2:51 PM,2:51 PM,I'm done,
7100048,19,5qfb8px,2022-02-22 22:56:13,2022-02-22 23:00:55,4.68,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",2:56 PM,2:56 PM,Team Member,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,"open to learning and improvement from any source,supportive of others when their needs are different than the norm,invested in our shared goals","engagement,autonomy,supportive",3:00 PM,3:00 PM,I'm done,
7100053,19,,2022-02-22 22:58:34,2022-02-28 17:20:12,8301.63,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",9:16 AM,9:16 AM,,1,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,1,3,3,3,"connected,supported,honest","honest,shared ideas,transparent",9:20 AM,9:20 AM,I'm done,Executive
7100094,19,,2022-02-22 23:34:17,2022-02-22 23:36:49,2.52,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:34 PM,3:34 PM,Manager / Supervisor,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,3,3,3,"Respect, professionalism and balance","openness, fun and career progression",3:36 PM,3:36 PM,I'm done,
7100774,23,,2022-02-23 06:14:14,2022-02-23 06:17:50,3.60,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",10:14 PM,10:14 PM,,2,2,3,3,2,2,1,1,2,2,3,3,3,3,1,2,3,3,3,3,3,3,3,3,"open communication,trust,similar goals or aspirations","work/life balance,trust,empowerment",10:17 PM,10:17 PM,I'm done,Manager / Supervisor
7104583,25,6ed5qyk,2022-02-24 21:45:54,2022-02-24 21:47:09,1.25,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",1:46 PM,1:46 PM,,2 | 2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"a,b,c | a,b,c","a,b,c",1:47 PM,1:47 PM,I'm done,Prefer not to say
7111925,25,,2022-02-28 23:06:34,2022-02-28 23:08:44,2.17,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:06 PM,3:06 PM,,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,transparency,automomy,3:08 PM,3:08 PM,I'm done,Manager / Supervisor
7111926,25,,2022-02-28 23:06:45,,0.57,g22nix1,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:06 AM | 3:06 AM,3:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Member
7111927,25,,2022-02-28 23:06:51,2022-02-28 23:10:32,3.67,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:06 PM,3:06 PM,,2,2,2,2,1,2,2,2,2,2,2,2,2 | 1,2,2,3,2,3,2,2,2,3,3,3,"Honest,Respectful,Caring","Vision,Respectful,Innovative",3:10 PM,3:10 PM,I'm done,Team Member | Manager / Supervisor
7111928,25,,2022-02-28 23:07:07,2022-02-28 23:10:23,3.25,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:07 PM,3:07 PM,,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,2,2,3,2,3,3,3,Honesty is the best policy,Honesty is the best policy,3:10 PM,3:10 PM,I'm done,Team Member
7111929,25,,2022-02-28 23:07:09,2022-02-28 23:19:00,11.83,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:07 PM,3:07 PM,,2,1,1,1,1,3,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,3,3,3,"Communication,Hard Work,Positive Attitude","Communication,Hard Work,Positive Attitude",3:18 PM,3:18 PM,I'm done,Team Member
7111931,25,,2022-02-28 23:07:25,2022-02-28 23:14:00,6.58,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:07 PM,3:07 PM,,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,"Trust,Acceptance,Open Communication","Opportunity for growth,Encouraging discussion,Employee/Family friendly policies clear guidelines,Team building activities",3:13 PM,3:13 PM,I'm done,Team Member
7111932,25,,2022-02-28 23:07:34,2022-02-28 23:09:59,2.40,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:07 AM,3:07 AM,,1,1,1,1,1,3,1,1,1,1,1,3,1,2,1,1,1,1,1,3,1,3,3,3,Respect for all,Supporting,3:09 PM,3:09 PM,I'm done,Team Member
